bibliographical.reference,coder,nrow,doi,nb.found,author1,year,journal,pub.type,data.site,stimuli.site,exp.condition,native.language,infant.type,min.age.days,mean.age.days,mean.age.Notes,max.age.days,nb.included,nb.excluded.total,fussers,non.criterion,exclusion.Criteria,same.infant.no,same.infant,nativeness,contrast_pseudoIPA,contrast_sampa,sampa_comments,counterbalanced,backness,height,nasality,roundness,tenseness,length,stimuli.notes,F1.1,F2.1,F1.2,F2.2,duration.word.1,duration.word.2,duration.vowel.1,duration.vowel.2,frequency.1,frequency.2,frequency.source,method,design,method.notes,results.extra,t,F,df,HAS.experimental,HAS.experimental.SD,HAS.control.nb,HAS.control,HAS.control.SD,CF.corr.same.switch,CF.difference,CF.same.SD,CF.switch.SD,CHT.pc,CHT.pc.SD,CHT.dprime,CHT.dprime.SD,CHT.Aprime,CHT.Aprime.SD,NIRS.DIFF,NIRS.DIFF.SD,NIRS.LI,NIRS.LI.SD,ERP.MMR.peakamplitude,ERP.MMR.peakamplitude.SD,MSDapprox,notes,specdif,tdif.count,tdif.dir,dur,featdif,attrition,fodif.count,fodif.dir,EffectSize,Formulas.used,ES.SE,ES.w,ES.type,CF.pooled,HAS.pooled
"Polka, Linda, & Bohn, O.-S. (2011). Natural Referent Vowel (NRV) framework: An emerging view of early phonetic development. Journal of Phonetics, 39(4), 467?478. ",st,97,10.1016/j.wocn.2010.08.007 ,21,Polka,2011,Journal of Phonetics,article,NA,NA,exp3,Danish,standard,182.52,97.26,mean,228.94,12,5,0,4,"criterion, scheduling, eq error, exp error",96,no,native,det-d?t,det-d2t,Danish_2OR9?,0,0,0,0,1,0,0,"comments_F: mean (range, length, pitch also available); F1/F2/F3.1: 355/1879/2576; F1/F2/F3.2: 412/1838/2550; min.f0: NA; average.f0: 120.333333333333; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 3 tokens per vowel; voice: male; IDS: no; naturalness: natural; ISI: 1500; SOA: NA; ambient.noise: NA; snr: NA; differ.in: ",355,1879,412,1838,NA,NA,100.3333333,94,NA,NA,NA,CHT,other,fam.length:NA;habituation.criterion:NA;proportion.same.change:0.333333333333333;max.trial.duration:4800;nb.tokens.trial:3;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:4800;CHT.criterion:7 out of 8;CHT.criterionByChance:0.0625;CHT.maximum.trials:25;CHT.Max.nb.visits:2;,proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.8,9.8,2.829016319,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,;,0.5651187051,NA,1.067375886,97.16666665,1,0.2941176471,NA,NA,1.111459969,"L&W 3.21 for ES, then unbiased ES from 3.22, 3.15 for SE with a correlation of zero, 3.24 for weight",0.467053854,4.58422663,2,NA,NA
"Polka, Linda, & Bohn, O.-S. (2011). Natural Referent Vowel (NRV) framework: An emerging view of early phonetic development. Journal of Phonetics, 39(4), 467?478. ",st,98,10.1016/j.wocn.2010.08.007 ,21,Polka,2011,Journal of Phonetics,article,NA,NA,exp3,Danish,standard,182.52,97.26,mean,228.94,12,5,0,4,"criterion, scheduling, eq error, exp error",97,no,native,d?t-det,d2t-det,Danish_2OR9?,0,0,0,0,1,0,0,"comments_F: mean (range, length, pitch also available); F1/F2/F3.1: 349/1620/2284; F1/F2/F3.2: 412/1838/2550; min.f0: NA; average.f0: 120.333333333333; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 3 tokens per vowel; voice: male; IDS: no; naturalness: natural; ISI: 1500; SOA: NA; ambient.noise: NA; snr: NA; differ.in: ",349,1620,412,1838,NA,NA,94,100.3333333,NA,NA,NA,CHT,other,fam.length:NA;habituation.criterion:NA;proportion.same.change:0.333333333333333;max.trial.duration:4800;nb.tokens.trial:3;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:4800;CHT.criterion:7 out of 8;CHT.criterionByChance:0.0625;CHT.maximum.trials:25;CHT.Max.nb.visits:2;,proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.4,6.9,1.991858429,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,;,1.036899964,NA,0.9368770767,97.16666665,1,0.2941176471,NA,NA,0.5886287625,"L&W 3.21 for ES, then unbiased ES from 3.22, 3.15 for SE with a correlation of zero, 3.24 for weight",0.42556256,5.521704668,2,NA,NA
"Polka, Linda, & Bohn, O.-S. (2011). Natural Referent Vowel (NRV) framework: An emerging view of early phonetic development. Journal of Phonetics, 39(4), 467?478. ",st,99,10.1016/j.wocn.2010.08.007 ,21,Polka,2011,Journal of Phonetics,article,NA,NA,exp3,Danish,standard,234.94,123.47,mean,343.62,12,5,0,4,"criterion, scheduling, eq error, exp error",98,no,native,det-d?t,det-d2t,Danish_2OR9?,0,0,0,0,1,0,0,"comments_F: mean (range, length, pitch also available); F1/F2/F3.1: 412/1838/2550; F1/F2/F3.2: 349/1620/2284; min.f0: NA; average.f0: 120.333333333333; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 3 tokens per vowel; voice: male; IDS: no; naturalness: natural; ISI: 1500; SOA: NA; ambient.noise: NA; snr: NA; differ.in: ",412,1838,349,1620,NA,NA,100.3333333,94,NA,NA,NA,CHT,other,fam.length:NA;habituation.criterion:NA;proportion.same.change:0.333333333333333;max.trial.duration:4800;nb.tokens.trial:3;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:4800;CHT.criterion:7 out of 8;CHT.criterionByChance:0.0625;CHT.maximum.trials:25;CHT.Max.nb.visits:2;,proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.8,12.1,3.492969129,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,;,1.036899964,NA,1.067375886,97.16666665,1,0.2941176471,NA,NA,0.4424666243,"L&W 3.21 for ES, then unbiased ES from 3.22, 3.15 for SE with a correlation of zero, 3.24 for weight",0.4181196357,5.720037466,2,NA,NA
"Polka, Linda, & Bohn, O.-S. (2011). Natural Referent Vowel (NRV) framework: An emerging view of early phonetic development. Journal of Phonetics, 39(4), 467?478. ",st,100,10.1016/j.wocn.2010.08.007 ,21,Polka,2011,Journal of Phonetics,article,NA,NA,exp3,Danish,standard,234.94,123.47,mean,343.62,12,5,0,4,"criterion, scheduling, eq error, exp error",99,no,native,d?t-det,d2t-det,Danish_2OR9?,0,0,0,0,1,0,0,"comments_F: mean (range, length, pitch also available); F1/F2/F3.1: 349/1620/2284; F1/F2/F3.2: 412/1838/2550; min.f0: NA; average.f0: 120.333333333333; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 3 tokens per vowel; voice: male; IDS: no; naturalness: natural; ISI: 1500; SOA: NA; ambient.noise: NA; snr: NA; differ.in: ",349,1620,412,1838,NA,NA,94,100.3333333,NA,NA,NA,CHT,other,fam.length:NA;habituation.criterion:NA;proportion.same.change:0.333333333333333;max.trial.duration:4800;nb.tokens.trial:3;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:4800;CHT.criterion:7 out of 8;CHT.criterionByChance:0.0625;CHT.maximum.trials:25;CHT.Max.nb.visits:2;,proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.3,13.2,3.781644263,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,;,1.036899964,NA,0.9368770767,97.16666665,1,0.2941176471,NA,NA,0.9300699301,"L&W 3.21 for ES, then unbiased ES from 3.22, 3.15 for SE with a correlation of zero, 3.24 for weight",0.4502328136,4.933165804,2,NA,NA
"Bohn, O. S., & Polka, L. (2001). Target spectral, dynamic spectral, and duration cues in infant perception of German vowels. The Journal of the Acoustical Society of America, 110(1), 504?15",st,101,10.1121/1.1380415 ,22,Bohn,2001,Journal of the Acoustic Society of America,article,NA,NA,FULL,German,standard,182.52,249.444,mean,365.04,20,33,2.428571429,26.57142857,"criterion, fussiness, scheduling, eq failure",100,no,native,e-i_,e-i_,not_looked_up,1,0,1,0,0,0,0,"comments_F: mean F of mid-vowel, onset/offset& range  available; F1/F2/F3.1: 299/2206/2507; F1/F2/F3.2: 255/2279/2658; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 4 tokens per vowel. ; voice: male; IDS: no; naturalness: natural; ISI: 1500; SOA: NA; ambient.noise: NA; snr: 68; differ.in: ",299,2206,255,2279,202.4,148.9,141,88.3,NA,NA,NA,CHT,other,fam.length:NA;habituation.criterion:NA;proportion.same.change:0.333333333333333;max.trial.duration:4800;nb.tokens.trial:4;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:4800;CHT.criterion:7 out of 8;CHT.criterionByChance:0.0625;CHT.maximum.trials:25;CHT.Max.nb.visits:2;,proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.5,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,";overall there were 8 condition, with four of these tested per child. So in Nb included some babies are couted double, while nb excluded goes overall. Either full syllable or parts of it silenced/neutralized for durations. Here I skipped all parts where th",0.510587352,1.596828992,NA,114.65,1,0.6226415094,NA,NA,2.845478669,"L&W 3.21 for ES, then unbiased ES from 3.22, 3.15 for SE with a correlation of zero, 3.24 for weight",0.5499261054,3.306673593,2,NA,NA
"Bohn, O. S., & Polka, L. (2001). Target spectral, dynamic spectral, and duration cues in infant perception of German vowels. The Journal of the Acoustical Society of America, 110(1), 504?15",st,102,10.1121/1.1380415 ,22,Bohn,2001,Journal of the Acoustic Society of America,article,NA,NA,FULL,German,standard,182.52,249.444,mean,365.04,10,33,2.428571429,26.57142857,"criterion, fussiness, scheduling, eq failure",101,no,native,ε-I_,E-I_,AEnglish,1,0,1,0,0,0,0,"comments_F: mean F of mid-vowel, onset/offset& range  available; F1/F2/F3.1: 494/1697/2230; F1/F2/F3.2: 345/2088/2606; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 4 tokens per vowel; voice: male; IDS: no; naturalness: natural; ISI: 1500; SOA: NA; ambient.noise: NA; snr: 68; differ.in: ",494,1697,345,2088,132,120.7,68.9,62.3,NA,NA,NA,CHT,other,fam.length:NA;habituation.criterion:NA;proportion.same.change:0.333333333333333;max.trial.duration:4800;nb.tokens.trial:4;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:4800;CHT.criterion:7 out of 8;CHT.criterionByChance:0.0625;CHT.maximum.trials:25;CHT.Max.nb.visits:2;,proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.4,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,";overall there were 8 condition, with four of these tested per child. So in Nb included some babies are couted double, while nb excluded goes overall. Either full syllable or parts of it silenced/neutralized for durations. Here I skipped all parts where th",1.96017438,1.105939005,NA,65.6,1,0.7674418605,NA,NA,2.801309023,"L&W 3.21 for ES, then unbiased ES from 3.22, 3.15 for SE with a correlation of zero, 3.24 for weight",0.7696535663,1.68814376,2,NA,NA
"Bohn, O. S., & Polka, L. (2001). Target spectral, dynamic spectral, and duration cues in infant perception of German vowels. The Journal of the Acoustical Society of America, 110(1), 504?15",st,103,10.1121/1.1380415 ,22,Bohn,2001,Journal of the Acoustic Society of America,article,NA,NA,FULL,German,standard,182.52,249.444,mean,365.04,20,33,2.428571429,26.57142857,"criterion, fussiness, scheduling, eq failure",102,no,native,I-e_,I-e_,not_looked_up,1,0,1,0,0,1,0,"comments_F: mean F of mid-vowel, onset/offset& range  available; F1/F2/F3.1: 345/2088/2606; F1/F2/F3.2: 299/2206/2507; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 4 tokens per vowel; voice: male; IDS: no; naturalness: natural; ISI: 1500; SOA: NA; ambient.noise: NA; snr: 68; differ.in: ",345,2088,299,2206,120.7,202.4,62.3,141,NA,NA,NA,CHT,other,fam.length:NA;habituation.criterion:NA;proportion.same.change:0.333333333333333;max.trial.duration:4800;nb.tokens.trial:4;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:4800;CHT.criterion:7 out of 8;CHT.criterionByChance:0.0625;CHT.maximum.trials:25;CHT.Max.nb.visits:2;,proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.8,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,";overall there were 8 condition, with four of these tested per child. So in Nb included some babies are couted double, while nb excluded goes overall. Either full syllable or parts of it silenced/neutralized for durations. Here I skipped all parts where th",0.5921922723,2.263242376,NA,101.65,2,0.6226415094,NA,NA,1.629598486,"L&W 3.21 for ES, then unbiased ES from 3.22, 3.15 for SE with a correlation of zero, 3.24 for weight",0.4079090348,6.009984483,2,NA,NA
"Bohn, O. S., & Polka, L. (2001). Target spectral, dynamic spectral, and duration cues in infant perception of German vowels. The Journal of the Acoustical Society of America, 110(1), 504?15",st,104,10.1121/1.1380415 ,22,Bohn,2001,Journal of the Acoustic Society of America,article,NA,NA,FULL,German,standard,182.52,249.444,mean,365.04,20,33,2.428571429,26.57142857,"criterion, fussiness, scheduling, eq failure",103,no,native,o-?_,o-U_,AEnglish,1,0,0,0,0,1,0,"comments_F: mean F of mid-vowel, onset/offset& range  available; F1/F2/F3.1: 352/682/2194; F1/F2/F3.2: 389/924/2060; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 4 tokens per vowel; voice: male; IDS: no; naturalness: natural; ISI: 1500; SOA: NA; ambient.noise: NA; snr: 68; differ.in: ",352,682,389,924,237.1,158.9,140.3,73.5,NA,NA,NA,CHT,other,fam.length:NA;habituation.criterion:NA;proportion.same.change:0.333333333333333;max.trial.duration:4800;nb.tokens.trial:4;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:4800;CHT.criterion:7 out of 8;CHT.criterionByChance:0.0625;CHT.maximum.trials:25;CHT.Max.nb.visits:2;,proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.2,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,";overall there were 8 condition, with four of these tested per child. So in Nb included some babies are couted double, while nb excluded goes overall. Either full syllable or parts of it silenced/neutralized for durations. Here I skipped all parts where th",1.706903105,1.908843537,NA,106.9,1,0.6226415094,NA,NA,2.514084507,"L&W 3.21 for ES, then unbiased ES from 3.22, 3.15 for SE with a correlation of zero, 3.24 for weight",0.5079522839,3.875735806,2,NA,NA
"Bohn, O. S., & Polka, L. (2001). Target spectral, dynamic spectral, and duration cues in infant perception of German vowels. The Journal of the Acoustical Society of America, 110(1), 504?15",st,105,10.1121/1.1380415 ,22,Bohn,2001,Journal of the Acoustic Society of America,article,NA,NA,FND,German,standard,182.52,249.444,mean,365.04,10,33,2.428571429,26.57142857,"criterion, fussiness, scheduling, eq failure",104,no,native,e-i_,e-i_,not_looked_up,1,0,1,0,0,0,0,"comments_F: mean F of mid-vowel, onset/offset& range  available; F1/F2/F3.1: 299/2206/2507; F1/F2/F3.2: 255/2279/2658; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 4 tokens per vowel. Neutralized duration (duration in text not specified, but said to be mean of the 8 tokens used - thus mean taken); voice: male; IDS: no; naturalness: natural_processed; ISI: 1500; SOA: NA; ambient.noise: NA; snr: 68; differ.in: ",299,2206,255,2279,175.65,175.65,114.65,175.65,NA,NA,NA,CHT,other,fam.length:NA;habituation.criterion:NA;proportion.same.change:0.333333333333333;max.trial.duration:4800;nb.tokens.trial:4;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:4800;CHT.criterion:7 out of 8;CHT.criterionByChance:0.0625;CHT.maximum.trials:25;CHT.Max.nb.visits:2;,proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.1,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,";overall there were 8 condition, with four of these tested per child. So in Nb included some babies are couted double, while nb excluded goes overall. Either full syllable or parts of it silenced/neutralized for durations. Here I skipped all parts where th",0.510587352,1.532054078,NA,145.15,1,0.7674418605,NA,NA,0.5234604106,"L&W 3.21 for ES, then unbiased ES from 3.22, 3.15 for SE with a correlation of zero, 3.24 for weight",0.4622775574,4.679445357,2,NA,NA
"Bohn, O. S., & Polka, L. (2001). Target spectral, dynamic spectral, and duration cues in infant perception of German vowels. The Journal of the Acoustical Society of America, 110(1), 504?15",st,106,10.1121/1.1380415 ,22,Bohn,2001,Journal of the Acoustic Society of America,article,NA,NA,FND,German,standard,182.52,249.444,mean,365.04,10,33,2.428571429,26.57142857,"criterion, fussiness, scheduling, eq failure",105,no,native,I-e_,I-e_,not_looked_up,1,0,1,0,0,1,0,"comments_F: mean F of mid-vowel, onset/offset& range  available; F1/F2/F3.1: 345/2088/2606; F1/F2/F3.2: 299/2206/2507; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 4 tokens per vowel. Neutralized duration (duration in text not specified, but said to be mean of the 8 tokens used - thus mean taken); voice: male; IDS: no; naturalness: natural_processed; ISI: 1500; SOA: NA; ambient.noise: NA; snr: 68; differ.in: ",345,2088,299,2206,161.55,161.55,101.65,161.55,NA,NA,NA,CHT,other,fam.length:NA;habituation.criterion:NA;proportion.same.change:0.333333333333333;max.trial.duration:4800;nb.tokens.trial:4;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:4800;CHT.criterion:7 out of 8;CHT.criterionByChance:0.0625;CHT.maximum.trials:25;CHT.Max.nb.visits:2;,proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.1,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,";overall there were 8 condition, with four of these tested per child. So in Nb included some babies are couted double, while nb excluded goes overall. Either full syllable or parts of it silenced/neutralized for durations. Here I skipped all parts where th",0.5921922723,1.589276931,NA,131.6,2,0.7674418605,NA,NA,1.524193548,"L&W 3.21 for ES, then unbiased ES from 3.22, 3.15 for SE with a correlation of zero, 3.24 for weight",0.5622795556,3.162972487,2,NA,NA
"Bohn, O. S., & Polka, L. (2001). Target spectral, dynamic spectral, and duration cues in infant perception of German vowels. The Journal of the Acoustical Society of America, 110(1), 504?15",st,107,10.1121/1.1380415 ,22,Bohn,2001,Journal of the Acoustic Society of America,article,NA,NA,FND,German,standard,182.52,249.444,mean,365.04,10,33,2.428571429,26.57142857,"criterion, fussiness, scheduling, eq failure",106,no,native,o-?_,o-U_,AEnglish,1,0,0,0,0,1,0,"comments_F: mean F of mid-vowel, onset/offset& range  available; F1/F2/F3.1: 352/682/2194; F1/F2/F3.2: 389/924/2060; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 4 tokens per vowel. Neutralized duration (duration in text not specified, but said to be mean of the 8 tokens used - thus mean taken); voice: male; IDS: no; naturalness: natural_processed; ISI: 1500; SOA: NA; ambient.noise: NA; snr: 68; differ.in: ",352,682,389,924,198,198,106.9,198,NA,NA,NA,CHT,other,fam.length:NA;habituation.criterion:NA;proportion.same.change:0.333333333333333;max.trial.duration:4800;nb.tokens.trial:4;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:4800;CHT.criterion:7 out of 8;CHT.criterionByChance:0.0625;CHT.maximum.trials:25;CHT.Max.nb.visits:2;,proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.2,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,";overall there were 8 condition, with four of these tested per child. So in Nb included some babies are couted double, while nb excluded goes overall. Either full syllable or parts of it silenced/neutralized for durations. Here I skipped all parts where th",1.706903105,1.852198316,NA,152.45,1,0.7674418605,NA,NA,1.032258065,"L&W 3.21 for ES, then unbiased ES from 3.22, 3.15 for SE with a correlation of zero, 3.24 for weight",0.5032671612,3.948233361,2,NA,NA
"Bohn, O. S., & Polka, L. (2001). Target spectral, dynamic spectral, and duration cues in infant perception of German vowels. The Journal of the Acoustical Society of America, 110(1), 504?15",st,108,10.1121/1.1380415 ,22,Bohn,2001,Journal of the Acoustic Society of America,article,NA,NA,VC,German,standard,182.52,249.444,mean,365.04,10,33,2.428571429,26.57142857,"criterion, fussiness, scheduling, eq failure",107,no,native,e-i_,e-i_,not_looked_up,1,0,1,0,0,0,0,"comments_F: mean F of mid-vowel, onset/offset& range  available; F1/F2/F3.1: 299/2206/2507; F1/F2/F3.2: 255/2279/2658; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 4 tokens per vowel. Onset & offset silenced (only vowel).; voice: male; IDS: no; naturalness: natural; ISI: 1500; SOA: NA; ambient.noise: NA; snr: 68; differ.in: ",299,2206,255,2279,NA,NA,141,88.3,NA,NA,NA,CHT,other,fam.length:NA;habituation.criterion:NA;proportion.same.change:0.333333333333333;max.trial.duration:4800;nb.tokens.trial:4;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:4800;CHT.criterion:7 out of 8;CHT.criterionByChance:0.0625;CHT.maximum.trials:25;CHT.Max.nb.visits:2;,proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.5,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,";overall there were 8 condition, with four of these tested per child. So in Nb included some babies are couted double, while nb excluded goes overall. Either full syllable or parts of it silenced/neutralized for durations. Here I skipped all parts where th",0.510587352,1.596828992,NA,114.65,1,0.7674418605,NA,NA,0.5500413565,"L&W 3.21 for ES, then unbiased ES from 3.22, 3.15 for SE with a correlation of zero, 3.24 for weight",0.4638181483,4.648411046,2,NA,NA
"Bohn, O. S., & Polka, L. (2001). Target spectral, dynamic spectral, and duration cues in infant perception of German vowels. The Journal of the Acoustical Society of America, 110(1), 504?15",st,109,10.1121/1.1380415 ,22,Bohn,2001,Journal of the Acoustic Society of America,article,NA,NA,VC,German,standard,182.52,249.444,mean,365.04,10,33,2.428571429,26.57142857,"criterion, fussiness, scheduling, eq failure",108,no,native,ε-I_,E-I_,AEnglish,1,0,1,0,0,0,0,"comments_F: mean F of mid-vowel, onset/offset& range  available; F1/F2/F3.1: 494/1697/2230; F1/F2/F3.2: 345/2088/2606; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 4 tokens per vowel. Onset & offset silenced (only vowel).; voice: male; IDS: no; naturalness: natural; ISI: 1500; SOA: NA; ambient.noise: NA; snr: 68; differ.in: ",494,1697,345,2088,NA,NA,68.9,62.3,NA,NA,NA,CHT,other,fam.length:NA;habituation.criterion:NA;proportion.same.change:0.333333333333333;max.trial.duration:4800;nb.tokens.trial:4;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:4800;CHT.criterion:7 out of 8;CHT.criterionByChance:0.0625;CHT.maximum.trials:25;CHT.Max.nb.visits:2;,proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.1,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,";overall there were 8 condition, with four of these tested per child. So in Nb included some babies are couted double, while nb excluded goes overall. Either full syllable or parts of it silenced/neutralized for durations. Here I skipped all parts where th",1.96017438,1.105939005,NA,65.6,1,0.7674418605,NA,NA,1.592529711,"L&W 3.21 for ES, then unbiased ES from 3.22, 3.15 for SE with a correlation of zero, 3.24 for weight",0.5716708354,3.059904883,2,NA,NA
