index,long_cite
163,"Mattys, S.L. & Jusczyk, P.W. (2001). Do infants segment words or recurring contiguous patterns?. Journal of Experimental Psychology: Human Perception and Performance, 27(3), 644. DOI: 10.1037/0096-1523.27.3.644"
164,"Mattys, S.L. & Jusczyk, P.W. (2001b). Phonotactic cues for segmentation of fluent speech by infants. Cognition, 78(2), 91-121. DOI: 10.1016/S0010-0277(00)00109-8"
165,"Hí_hle, B. & Weissenborn, J. (2003). Germanäóêlearning infantsäó» ability to detect unstressed closedäóêclass elements in continuous speech. Developmental Science, 6(2), 122-127. DOI: 10.1111/1467-7687.00261"
166,"Houston, D.M. & Jusczyk, P.W. (2003). Infants' long-term memory for the sound patterns of words and voices. Journal of Experimental Psychology: Human Perception and Performance, 29(6), 1143-1154. DOI: 10.1037/0096-1523.29.6.1143"
167,"Johnson, E.K., Jusczyk, P.W., Cutler, A., & Norris, D. (2003). Lexical viability constraints on speech segmentation by infants. Cognitive Psychology, 46(1), 65-97. DOI: 10.1016/S0010-0285(02)00507-8"
168,"Newman, R., Tsay, J., & Jusczyk, P. (2003). The development of speech segmentation abilities. In: D. Houston, A. Seidl, G. Hollich, E. Johnson, & A. Jusczyk (Eds.), Jusczyk Lab Final Report. Retrieved from: http://hincapie.psych.purdue.edu/Jusczyk"
169,"Tsay, J. & Jusczyk, P.W. (2003). Detection of words in fluent Chinese by English-acquiring and Chinese-acquiring infants. In: D. Houston, A. Seidl, G. Hollich, E. Johnson, & A. Jusczyk (Eds.), Jusczyk Lab Final Report. Retrieved from: http://hincapie.psych.purdue.edu/Jusczyk"
170,"Barker, B.A. & Newman, R.S. (2004). Listen to your mother! The role of talker familiarity in infant streaming. Cognition 94: B45-53. DOI:10.1016/j.cognition.2004.06.001"
171,"Gout, A., Christophe, A., & Morgan, J.L. (2004). Phonological phrase boundaries constrain lexical access II: Infant data. Journal of Memory and Language, 51(4), 548-567. DOI: 10.1016/j.jml.2004.07.002"
172,"Singh, L., Morgan, J.L., & White, K.S. (2004). Preference and processing: The role of speech affect in early spoken word recognition. Journal of Memory and Language, 51(2), 173-189. DOI: 10.1016/j.jml.2004.04.004"
173,"Bortfeld, H., Morgan, J.L., Golinkoff, R.M., & Rathbun, K. (2005). Mommy and me familiar names help launch babies into speech-stream segmentation. Psychological Science, 16(4), 298-304. DOI: 10.1111/j.0956-7976.2005.01531.x"
174,"Hollich, G., Newman, R.S., & Jusczyk, P.W. (2005). Infants' use of synchronized visual information to separate streams of speech. Child Development, 76(3), 598-613. DOI: 10.1111/j.1467-8624.2005.00866.x"
175,"Johnson, E.K. (2005). English-Learning Infants' Representations of Word Forms With Iambic Stress. Infancy, 7(1), 99-109. DOI: 10.1207/s15327078in0701_8"
176,"Nazzi, T., Dilley, L.C., Jusczyk, A.M., Shattuck-Hufnagel, S., & Jusczyk, P.W. (2005). English-learning infants' segmentation of verbs from fluent speech. Language and Speech, 48(3), 279-298. DOI: 10.1177/00238309050480030201"
177,"Nazzi, T., Iakimova, G., Bertoncini, J., Frí©donie, S., & Alcantara, C. (2006). Early segmentation of fluent speech by infants acquiring French: Emerging evidence for crosslinguistic differences. Journal of Memory and Language, 54(3), 283-299. DOI: 10.1016/j.jml.2005.10.004"
178,"Seidl, A., & Johnson, E. K. (2006). Infant word segmentation revisited: Edge alignment facilitates target extraction. Developmental Science, 9(6), 565-573."
179,"Shi, R., Cutler, A., Werker, J., & Cruickshank, M. (2006). Frequency and form as determinants of functor sensitivity in English-acquiring infants. The Journal of the Acoustical Society of America, 119(6), EL61-EL67. DOI: 10.1121/1.2198947"
180,"Shi, R., Marquis, A., & Gauthier, B. (2006). Segmentation and representation of function words in preverbal French-learning infants. In D. Bamman, T. Magnitskaia & C. Zaller (Eds.), Proceedings of the 30th annual Boston University Conference on Language Development. Sommerville, MA, Cascadilla Press, 549-560."
NA,"Katz-Gershon, S. (2007). Word Extraction in Infant and Adult Directed Speech: Does Dialect Matter? Doctoral Dissertation, Wayne State University."
181,"Shi, R. (2007). Infants' recognition of function words in continuous speech. In: Proceedings of the 17th International Congress of Phonetic Sciences, 1541-1544."
182,"Johnson, E.K. (2008). Infants use prosodically conditioned acoustic-phonetic cues to extract words from speech. The Journal of the Acoustical Society of America, 123(6), EL144-EL148. DOI: 10.1121/1.2908407"
183,"Marquis, A. & Shi, R. (2008). Segmentation of verb forms in preverbal infants. The Journal of the Acoustical Society of America, 123(4), EL105-EL110. DOI: 10.1121/1.2884082"
184,"Seidl, A. & Johnson, E.K. (2008). Boundary alignment enables 11-month-olds to segment vowel initial words from speech. Journal of Child Language, 35(01), 1-24. DOI: 10.1017/S0305000907008215"
185,"Shi, R. & Lepage, M. (2008). The effect of functional morphemes on word segmentation in preverbal infants. Developmental Science, 11(3), 407-413. DOI: 10.1111/j.1467-7687.2008.00685.x"
186,"Singh, L. (2008). Influences of high and low variability on infant word recognition. Cognition, 106(2), 833-870. DOI: 10.1016/j.cognition.2007.05.002"
187,"Singh, L., Nestor, S.S., & Bortfeld, H. (2008). Overcoming the effects of variation in infant speech segmentation: Influences of word familiarity. Infancy, 13(1), 57-74. DOI: 10.1080/15250000701779386"
188,"Singh, L., White, K.S., & Morgan, J.L. (2008). Building a word-form lexicon in the face of variable input: Influences of pitch and amplitude on early spoken word recognition. Language Learning and Development, 4(2), 157-178. DOI: 10.1080/15475440801922131"
189,"Bartels, S., Darcy, I., & Hí_hle, B. (2009). Schwa Syllables Facilitate Word Segmentation for 9-month-old German-learning Infants. In: Chanderlee, J. et al. (Eds.), Proceedings of the 33rd Boston University Conference on Language Development. Cascadilla Press, Somerville, MA, pp. 73-84."
190,"Marquis, A. & Shi, R. (2009). The recognition of verb roots and bound morphemes when vowel alternations are at play. In J. Chandlee, M. Franchini, S. Lord, & M. Rheiner (Eds.), A supplement to the Proceedings of the 33rd Boston University Conference on Language Development."
191,"Pelucchi, B., Hay, J. F., & Saffran, J. R. (2009). Statistical Learning in a Natural Language by 8äóêMonthäóêOld Infants. Child development, 80(3), 674-685."
192,"Pelucchi, B., Hay, J. F., & Saffran, J. R. (2009). Learning in reverse: Eight-month-old infants track backward transitional probabilities. Cognition, 113(2), 244-247."
193,"Schmale, R. & Seidl, A. (2009). Accommodating variability in voice and foreign accent: flexibility of early word representations. Developmental Science, 12(4), 583-601.DOI: 10.1111/j.1467-7687.2009.00809.x"
194,"Singh, L., Nestor, S., Parikh, C., & Yull, A. (2009). Influences of infant-directed speech on early word recognition. Infancy, 14(6), 654-666. DOI: 10.1080/15250000903263973"
195,"Willits, J.A., Seidenberg, M.S., & Saffran, J.R. (2009). Verbs are lookING good in early language acquisition. In: N. Taatgen, H. van Rijn, L. Schomaker, & J. Nerbonne (Eds.), Proceedings of the 31st Annual Conference of the Cognitive Science Society. Austin, TX: Cognitive Science Society. 2570-2575."
196,"Schmale, R., Cristia, A., Seidl, A., & Johnson, E. K. (2010). Developmental changes in infantsäó» ability to cope with dialect variation in word recognition. Infancy, 15(6), 650-662. DOI: 10.1111/j.1532-7078.2010.00032.x"
197,"Babineau, M. & Shi, R. (2011). Processing of French Liaisons in Toddlers. In: Davis, N., Mesh, K., Sung, H. (Eds.), Proceedings of the 35th Boston University Conference on Language Development. Cascadilla Press, Somerville, MA, pp. 25-37."
198,"LewäóêWilliams, C., Pelucchi, B., & Saffran, J. R. (2011). Isolated words enhance statistical language learning in infancy. Developmental Science, 14(6), 1323-1329."
199,"Mason-Apps, E., Stojanovik, V., & Houston-Price, C. (2011). Early Word Segmentation in Typically Developing Infants and Infants with Down Syndrome: A Preliminary Study. In: Proceedings of the 17th International Congress of Phonetic Sciences, 1334-1337"
200,"Polka, L. & Sundara, M. (2012). Word Segmentation in Monolingual Infants Acquiring Canadian English and Canadian French: Native Language, Cross-Dialect, and Cross-Language Comparisons. Infancy, 17(2), 198-232. DOI: 10.1111/j.1532-7078.2011.00075.x"
201,"Marquis, A. & Shi, R. (2012). Initial morphological learning in preverbal infants. Cognition, 122(1), 61-66. DOI: 10.1016/j.cognition.2011.07.004"
202,"Singh, L. & Foong, J. (2012). Influences of lexical tone and pitch on word recognition in bilingual infants. Cognition, 124(2), 128-142. DOI: 10.1016/j.cognition.2012.05.008"
203,"Singh, L., Reznick, J.S., & Xuehua, L. (2012). Infant word segmentation and childhood vocabulary development: a longitudinal analysis. Developmental Science, 15(4), 482-495. DOI: 10.1111/j.1467-7687.2012.01141.x"
204,"van Heugten, M. & Johnson, E.K. (2012). Infants exposed to fluent natural speech succeed at cross-gender word recognition. Journal of Speech, Language, and Hearing Research, 55(2), 554-560. DOI: 10.1044/1092-4388(2011/10-0347)"
205,"Kim, Y.U. (2012) Segmentation of vowel-initial words is facilitated by function words. Master Thesis, UCLA."
206,"Altvater-Mackensen, N. & Mani, N. (2013). Word-form familiarity bootstraps infant speech segmentation. Developmental Science, 16(6): 980-990. DOI: 10.1111/desc.12071"
207,"Bosch, L., Figueras, M., Teixidí_, M., & Ramon-Casas, M. (2013). Rapid gains in segmenting fluent speech when words match the rhythmic unit: evidence from infants acquiring syllable-timed languages. Frontiers in Psychology, 4:106. DOI: 10.3389/fpsyg.2013.00106"
208,"Gonzalez-Gomez, N. & Nazzi, T. (2013). Effects of prior phonotactic knowledge on infant word segmentation: The case of nonadjacent dependencies. Journal of Speech, Language, and Hearing Research, 56(3), 840-849. DOI: 0.1044/1092-4388(2012/12-0138)"
209,"Nazzi, T., Mersad, K., Sundara, M., Iakimova, G., & Polka, L. (2014). Early word segmentation in infants acquiring Parisian French: task-dependent and dialect-specific aspects. Journal of Child Language, 41(3), 600-633. DOI: 10.1017/S0305000913000111"
210,"Goyet, L., Nishibayashi, L. L., & Nazzi, T. (2013). Early syllabic segmentation of fluent speech by infants acquiring French. PloS one, 8(11), e79646."
211,"Babineau, M., & Shi, R. (2014). Distributional cues and the onset bias in early word segmentation. Developmental Psychology, 50(12), 2666."
212,"Johnson, E. K., Seidl, A., & Tyler, M. D. (2014). The edge factor in early word segmentation: utterance-level prosody enables word form extraction by 6-month-olds. PloS one, 9(1), e83546."
213,"Nishibayashi, L. L., Goyet, L., & Nazzi, T. (2014). Early speech segmentation in French-learning infants: Monosyllabic words versus embedded syllables. Language and speech, 0023830914551375."
NA,"Bergmann, C. & Fikkert, P. (unpublished) Replication of Jusczyk & Aslin (1995) in Dutch 8- and 10-month-olds."
214,"Porto, L. (2015). Using the Headturn Preference Procedure to Assess Word Segmentation Skills in Dutch Infants. Unpublished Masterthesis. Retrieved via http://theses-test.ubn.ru.nl/handle/123456789/653"
215,"Zahner, K., Schí_nhuber, M., & Braun, B. (2015). The limits of metrical segmentation: intonation modulates infants' extraction of embedded trochees. Journal of child language, 1-27."
216,"Haryu, E., & Kajikawa, S. (2016). Use of bound morphemes (noun particles) in word segmentation by Japanese-learning infants. Journal of Memory and Language, 88, 18-27."
217,"Floccia, C., Keren-Portnoy, T., DePaolis, R., Duffy, H., Delle Luche, C., Durrant, S., White, L., Goslin, J., & Vihman, M. (2016). British English infants segment words only with exaggerated infant-directed speech stimuli. Cognition, 148, 1-9."
218,"Schreiner, M. S., AltvateräóêMackensen, N., & Mani, N. (2016). Early Word Segmentation in Naturalistic Environments: Limited Effects of Speech Register. Infancy."
219,"Wang, Y., Llanos, F., & Seidl, A. (2016). Infants use context to normalize speaking rate. 2016 International Conference on Infant Studies (ICIS) Biennial Meeting, New Orleans, LA."
220,"Nivedita Mani & Wiebke Pí_tzold (2016): Sixteen-month-old infantsäó» segment words from infant- and adult-directed speech, Language Learning and Development, DOI: 10.1080/15475441.2016.1171717"
NA,"Ota, M. & Skarabela, B. (in press)"
